word	description
ETERN	Long time, in poems
PLEAD	Beg. 
DREAD	Deep anxiety
ARROW	Symbol on a "one way" sign
SNEER	Certain look 
DENSE	Not so bright.
IMAGE	Setter is 80, as the mirror shows
NEVER	Now's alternative 
EMEER	Princely Muslim Var
AMATI	Nicola of Cremona
NEVER	Not in any degree.
ARMOR	Knight's protective outerwear
CRAPS	Gambling game involving dice
LEAVE	French  abrupt departure
PILOT	Steer, guide
OVINE	Adjective for karakuls.
IDLER	Lazy type
DISCO	Popular form of music 
LEAVE	The French hail and farewell
ELATE	Make really, really happy
AMUSE	Beguile
CLING	Static annoyance
CELLO	Large stringed instrument
CHESS	Its openings are often studied
EXERT	Give, as an effort
SALTY	Like most pretzels
LOPER	See 22
ERROR	Fluff or muff 
STALE	Hardened, maybe
CELLO	Pablo Casals's instrument
AMATI	Nicolo of Cremona.
HALER	More robustlooking
HEMEN	Prevalent TV heroes.
START	Kickoff
LOSER	Weeper, maybe
ERROR	After tea that would be frightfully wrong
EYRIE	Lofty dwelling
ELITE	Highclass group
ENTER	Put in the ledger
ARENA	Gladiators' fight site
ELITE	Cream of the crop. 
ELITE	Select part
BELAY	Hold fast Naut. 
EXERT	Exercise as influence
WREST	Force victory on the mat (wordplay)
ENTER	Take up 
ERECT	Quite unbowed before going to court
SIEVE	Utensil with meshed bottom
GENET	Small spotted mammal. 
INANE	Like wearing socks on your hands
SCARE	Type of headline
ELATE	Send spirits soaring.
ORDER	"As you were," for instance. 
TASER	Shocking device used by the police (wordplay)
ATTAR	Product of petals.
DISCO	Place for dancing
CELLO	Larger cousin of a viola
ERROR	Shortstop's misplay
EROSE	Seemingly gnawed away
ARROW	Send, reply, or forward symbol
SENSE	That which is reasonable.
HEMEN	Hardly wimps
ARROW	The Blind Boy's weapon.
GROSS	Sales figure
DRYER	Appliance with an "air fluff" setting
CRAPS	Game for high rollers
ARMOR	Cover of knight (wordplay)
EVADE	Woman shelters a dead duck
ELATE	Inspirit 
EXERT	Spend
HEART	Tin Woodman's wish
ARROW	Point of attack
ERROR	Lapse
RIVAL	Compare to
ELOPE	Wed stealthily 
FRAME	Picture holder
NEVER	At no time does revenue start rising
RENTE	Revenue, in France
ENNUI	That tired feeling. 
LOSER	Failure in comic roles
ARMOR	Heavy coat
ESSAY	College applicant's piece of writing
UPSET	Dont do this to the apple cart
NAVEL	Pierced body part, sometimes
ERROR	Bad pass eg
TROUT	Brook catch
RESET	Job for a jeweler. 
RELIC	Revered religious remnant
OTTER	Whiskered romper
ELITE	Choice 
SIREN	Air-raid signal.
SIREN	Seductive sea nymph
HEMEN	They're hunks 
ERODE	Undermine as confidence
SLATE	Its used to make black Go stones
RETRO	Active intro
ERROR	Lady Snow drew attention to one of judgment
SAWER	Cutter. 
HALER	More healthy
ELATE	Please mightily
SCARE	Oct. 31 goal
TREEN	Small handmade wooden household objects
AGREE	Have a meeting of the minds
ELOPE	Going West, East, North or South to flee with partner
SEDER	Ritual Jewish meal
AROMA	Snout stimulus
ENNUI	'I'm so bored' feeling
ELATE	Ogre, finally dead, brings delight
ABOUT	Near.
AGREE	Be harmonious
NEEDY	Far from prosperous
ENTER	Word in a script
TEPEE	It may be made of buffalo skins
RELIT	Turned a lamp back on 
LONER	Hardly the gregarious type
SIREN	Warning. 
OMBRE	Card game, the name derived from the Spanish for man
AMATI	Famed luthier
ERODE	Slowly reduce, as a cliff face
CRUSH	Flatten 
ALIEN	'Guardians of the Galaxy' figure
STAMP	Postoffice purchase
ELITE	Crhme de la crhme
ERODE	Grind away in bar in central Greece
ARARA	S. A. macaw. 
CANIS	Genus for jackals
SENSE	and Sensibility
ERODE	Crumble
DELAY	Put on hold
EROSE	Unevenly notched, as leaf edges
ALIEN	Applicant for citizenship.
ARROW	Shower of the way
NEVER	"Absolutely not!" 
EYRIE	An eagle's nest
VALET	Hotels carparking person
AWARE	Appraised of
SIREN	Fireengine feature
LEARY	s guru
ADDER	One putting two and two together is less happy, left out
TETRA	Colorful tank fish
ORATE	Talk big (wordplay)
ESSAY	Magazine piece sometimes
STRAM	Former Chiefs' coach Hank
ALTER	Do some remodeling
ELOPE	Get hitched on the qt
ANISE	Pfeffernuss flavoring
ARENA	Bowl game venue, maybe
CARTE	Menu, in Monaco
RESET	Undo changes, perhaps
AMUSE	Cause to giggle
REATA	Giant    ranch
AMATI	Violinmaker who taught Stradivari
ERROR	Eggs flipped to conceal bishop's booboo
AWFUL	Really, informally
ORDER	The cistercians eg
ELITE	A superior or privileged group
EYRIE	Lofty nest of a bird of prey
LINEN	What Thao might "Like" on a bed (wordplay)
ARMOR	Knight's covering
PLEAD	Ask for a quiet, yet important, role
ATTAR	It's essentially from flowers to get at the pitch of this
RERUN	Further showing
EXERT	Apply to pack 10 in upturned box, say
SPASM	Sudden violent activity feeling etc
ANIMA	Liveliness, in music
IMBUE	Permeate
EROSE	Eaten away.
RERAN	Showed over
ENTER	Step in
TWEED	Suit of a sort.
SNORE	Sound hoarsly, as a foghorn
SENSE	Touch, e.g
RERUN	Second or third showing eg
AMATI	Stradivarius teacher
ESSAY	Writing speech on South Africa
SPOOL	One end of a kite string
THINE	Yours once, but not anymore (wordplay)
ELATE	Put on Cloud 9
ABOMA	Serpent
DREAR	Dismal, to Dylan
AMIGO	Jim Reeves Adios
ATTAR	Fragrant perfume
DISCO	Pointer's location (wordplay)
LONER	Solitary sort
EMEER	High guy in Dubai (Var.)
RELAX	King grabs the Parisian female to wind down
UPSET	Surprise - distress
RESIT	Again take nap, one tucked in
TROUT	Brown and rainbow eg
CRUSH	Throng
ATTAR	Oil derived from petals
CELLO	Bull fiddles little brother
UNION	'91 Yes album that came together (wordplay)
UPSET	Underdog's feat
DREAD	Phobia
ARROW	Archers weapon
WATER	10K race handout
EXERT	Act vigorously
EMAIL	It may arrive with attachments
ARROW	Oneway street symbol
ATTAR	Perfume.
USAGE	Data plan number
AISLE	Passage from a small island
UPEND	Cause to turn turtle 
SPENT	Ran through
CELLO	Instrument would sound high, if cold were hot
DISCO	s dance club
SIEGE	Military operation ringing a town
ENTER	New line key
AMIGO	Friend in Nogales
ENTER	Takes a host to go in and have the ta in
WIRER	"Juice jockey" 
SENSE	Experience intuition
EYRIE	High roost
MANSE	Hawthorne's home
LEMON	Edsel, infamously
ERECT	On twos rather than fours
CELLO	The voice in Blochs Voice in the Wilderness
CLING	Static attraction
ETUDE	Any of Paganinis  Caprices in essence
ARROW	Quiver article
ETUDE	Piano teacher's assignment
ARISE	Crop up. 
EATER	Jack Sprat.
TIBER	Vatican Citys river
ELATE	Make euphoric.
ERROR	Misprint. 
STOMA	Leaf aperture. 
ERUPT	Go out with a rush 
LIMMA	Old Greek music note 
SALLE	Room in Paris
THINE	Belonging to thee
ELOPE	Run off romantically
EDGER	Tool for tidy gardeners. 
DETER	Impede
OTTER	Swimming mammal
NEVER	In your dreams
ERROR	Blunder in fear, losing head
PLEAD	Say 'no contest,' say
ARARA	Brazilian bird.
CROAK	Die, to Kermit (wordplay)
HALAL	Islamic equivalent of kosher
RINSE	Step between lather and repeat
ERUCT	Spew as a volcano
REVUE	Stage production
RETRO	Format for some radio shows
RISER	That comes upstairs
ABATE	Double you over this if it's so cold to get down to it
SENSE	Loon's lack
DREAR	Like overcast skies
FROST	Nose nipper Jack
LOPER	Easy runner. 
ATTAR	Perfume obtained from flowers. 
CLING	Embrace of a cold fish
ORDER	Sit down and shut up!
SCARE	Terrify
ESSAY	Elian output 
INERT	Part of airliner threatens to be unresponsive
SNERT	Comics pet with horns
EIDER	You might get down from it
EXERT	Use as energy
UVULA	Soft palate
ENTER	Throw ones hat into the ring
ESSAY	Student paper
ELOPE	Skip church maybe
NEVER	On the 31st of February
ELOPE	Secretly change one's name, maybe
LINER	QE eg
ELATE	Raise the spirits of7
RERUN	Reprint piece again about Dublin City marathon
NERTS	Fiddlesticks
OTTER	Relative of a mink
ERROR	Calculator message
EDGER	Suburbanite's gadget
ARMOR	Iron clothes (wordplay)
LONER	Hardly an extrovert
UNLIT	Like a new cigarette
ARMOR	Protective clothing 
HALER	More strapping
ENTER	Key next to "
CELLO	Stringed instrument 
HEMEN	Red-blooded ones 
STEMS	Hollyhock features
ETERN	Ever: Arch.
ELOPE	Emulate Sarah Palin, nuptially
UNTIE	Disconnect
ERECT	Like a Siberian Huskys ears
EROSE	Rough-edged 
SOLUS	Alone, as a stage direction.
EXERT	Employ muscle power
ENTER	Work with data
DREAD	Abject terror
CHESS	Kasparovs game
LINER	Steamship 
CELLO	Musical instrument 
ARISE	Get one's butt out of bed
STAMP	Elvis famously graced one
AWARE	Opposite of "oblivious"
SIREN	Calypso  <P>for example
RINSE	Beauty shop specialty.
ELATE	Make proud. 
ENTER	Get in
NYLON	DuPont invention
ARROW	Highway-sign feature
LINER	Large passenger or cargo ship travelling on regular route
NEEDY	Hard up
BASIS	Fundamental principle. 
TREAD	Plod tense - do this in library (wordplay)
AROMA	Smell that entices
SNERT	Helmet-wearing hound
AWFUL	Really bad
SENSE	Blatherers don't make any
LEARN	Internalize
EROSE	Uneven, as leaves
RESIN	Eucalyptus yield
ENTER	if you go into it, it is afterwards for trouble inside
TREES	Kilmers classic
ENTER	Gain admission
OTTER	Playful waterdweller
ERECT	Like a Siberian Husky's ears
DRYER	Beautician's device
AMATI	Violin par excellence 
ELOPE	Have a secret ceremony
AROSE	Answered the alarm 
HEMEN	Typical bouncers
EXERT	Vigorously strain
TEPEE	Home of sorts
ENTER	Insert.
PILOT	One in plane view (wordplay)
OLDIE	Itsy Bitsy Teenie Weenie Yellow Polka Dot Bikini for one
LEARY	In 1987 he said that the current generation had "a brain dressed up with nowhere to go"
SCARE	Fright.
EMEER	Islamic ruler Var
MERGE	Slip into the crowd
ORATE	Give speech from floor at eight
RIATA	Calf roper's rope
REATA	Ranch in Edna Ferber's "Giant"
UPSET	Bookmakers dread
SCARE	Word with crow
ADDER	Dangerous reptile
EMAIL	It gets checked often
ARARA	SA parrot
WIRER	Cable guy, often
ALIEN	Outsider
LEAVE	Order to party crashers
ERROR	Overthrow of third base, for one
RATIO	3:1 or 7:2, for example
EROSE	Detrited 
BORER	Destructive beetle 
LONER	Rugged or dogged individualist
ERROR	Wrong number eg
RELIC	Shroud of Turin, e.g,
OPIUM	The dried narcotic juice of the white poppy
EXERT	Apply
RERUN	Some carer unlikely to show again
LEAVE	Write in nothing
CROAK	Emulate Kermit
TREAD	Stair surface 
SIEGE	Long distressing period
KABOB	Skewer-ed entree
SCARE	Shoo away.
SUGAR	When I Take My  to Tea
ELOPE	Marry and fast
ELITE	Cream
PLEAD	Beg for mercy
ADDER	Horned viper. 
OTTER	It lives in a holt
NOVEL	Lord Jim or "Lucky Jim"
EXERT	Use one's muscles.
GLADE	Good deal ruined in clearing
ARENA	Team building (wordplay)
OSIER	A salix
EYRIE	Lofty nest. 
SONAR	Kin of echo ranging
ARMOR	Lancelot's strong suit
DRYER	Appliance that's uninteresting about to be returned
ADORN	Bedeck 
SIREN	It may be fatal to have it on the rocks, by the sound of it
ARROW	William Tells missile
AMATI	PAPA Andrea's violin 
PLEAD	Profess ones innocence perhaps
DELAY	Put off 
ADDED	up made sense
ERROR	Fumble. 
MANIA	Fad.
ALTER	Change as hems
RERAN	Sought public office again
ARENA	Wave setting, sometimes
ERODE	Weather away 
ELATE	Inspirit. 
ABOUT	See 49-Across
ELITE	Hardly the hoi polloi 
OTTER	Kind of fur.
PIETY	Dutiful respect
VELUM	The soft palate.
OTTER	Downright
HEART	Kind of line across one's palm. 
REINS	Jock straps
SNEER	Turn up ones nose
POLIS	Metro terminus
ELOPE	Secretly unite
MONEL	Commercial alloy 
NEVER	Not ever. 
OPINE	Have an idea
ELOPE	Forgo a minister, maybe
ALERT	Heads up!, for example
EDEMA	Tomato ailment
CORPS	The Marines
ELOPE	Wed without warning
CLING	Adhere. 
OTTER	Minklike swimmer 
SIDLE	Edge. 
ABOVE	Better than. 
FUMES	Exhaust output
LEASE	Auto-dealership offer
IMAGE	GIF or JPEG
HEART	Valentine symbol
SCARE	Provoke to panic. 
ENTER	Come in to register
GLADE	Maker of Under the Mistletoe candles
GROSS	items
ELATE	Raise the spirits of the Earl recently
ERROR	Muffed fly, for example
SIDLE	Walk sideways in furtive manner
RIVET	Hold firmly. 
MISER	Scrooge, i.e
ENTER	Ngaio Marshs  a Murderer
SWIPE	Steal, slangily
OSAGE	500-mile tributary of the Missouri.
SIREN	Frequent demonstrator of the Doppler effect
HALER	More sound
LONER	Both sides welcome individual sort of person
RASTA	Selassie disciple
ORATE	Become hortatory 
ELATE	Delight 
GLADE	Open space in a forest
ENTAD	Toward the center.
HELLO	Pasteon nametag word
SIREN	Sign of trouble
CHESS	Paul Morphy's forte. 
ENTER	Metallicas  Sandman
ENTER	'The door's open!'
VENUE	Show-stopping place (wordplay)
LEDGE	Flowerpot perch
ENTER	Don't stay out; with this it is trouble inside
CENSE	Burn sandalwood say
TROVE	Collector's dream
SIREN	Gob stopper (wordplay)
ORIBI	Sub-Saharan antelope
EMEER	Arab commander
ONSET	Charge in connection with TV (wordplay)
EXERT	Put on, as pressure
SHEEN	Charlie's luster (wordplay)
SNORE	Sleep sound.
OUTER	Peripheral 
CLING	Hold on tightly, be dependent
CELLO	Casals strings
TEMPO	The beat.
RETIE	Make more snug, in a way
ANTES	Giant escapes holding pot's contents
OPIUM	Old Greek character has little hesitation supplying drug
REATA	Calf snagger
AWARE	Knowing of
ARROW	I'm with stupid T-shirt symbol
AMATI	Cremona craftsman 
NEVER	Not a chance
ELATE	Make giddy
LEARY	Commander of Eastern Sea Frontier: 1943-46
SALON	Boutique
ENTER	Do Not  common city sign
AWARE	Cognisant
DRUPE	Peach or plum eg
RINSE	Household appliance cycle
DRUPE	An olive is one
HERON	Everglades bird.
ERODE	War away
ERROR	Reason for an erasure
INTER	Between (prefix)
WATER	Need for life
ARENA	Its in or near a fight site
ELOPE	Unite in secret
ERROR	Stage miscue
HEMEN	Prevalent TV heroes. 
LEAVE	'Go now!'
CHESS	set
ELATE	Make joyous. 
TREES	Van Goghs Chestnut  in Flower
OTTER	Weasel relative
AWARE	Onto, with "of"
EXERT	Give one's all with
RATER	Judge
INPUT	Database fodder
ERROR	What 'oopsy' signals
RIATA	Roundup gear.
ALIEN	The "A" in ALF
HELLO	Word on the wire.
NYLON	Kind of hose
AGREE	Accord, match
ELITE	High society
TREAD	Grooved surface of tire
FAINT	Like a non-winning heart 
CRUSH	Passing infatuation 
PIPIT	Titlark 
PLEAD	Offer as an excuse.
AWARE	Vigilant
KOREA	Setting of a 1950s conflict
ENURE	Harden with use
ARROW	Feature of many road signs
CELLO	It's placed between the knees
SWOOP	Drop like a roc
SIEVE	Perforated utensil
LEAVE	Permission to resign
DATER	Type of rubber stamp. 
CARTE	44 Menu
ENTER	Key key on the keyboard
ABOMA	S. American snake
NEEDY	Destitute.
LONER	Individualist of sorts 
ORANG	Chimp relative, briefly
HIRER	He takes on hands. 
DISCO	It will make only a shade of change to the dancing there for it to lour
ENTER	Stage direction for Dame Ngaio's killer
SIREN	'Pull over!' sound
ARMOR	Sir Lancelots protection
OTTER	Skunk relative
RATIO	10:1, for example
NABOB	Mogul VIP. 
ENTER	Walk in
ONSET	Outbreak
ANTES	Tosses coins in a pot (wordplay)
ADDER	Sum body (wordplay)
ERROR	Software glitch
RELIT	'Alighted, perhaps, once more (5)'
SCARE	Cause to jump
ERODE	Eat away at the beach
EIDER	Pillow filling, perhaps
AMUSE	Elicit some smiles
TREES	Poon and roble
ALIEN	Tabloid creature
INERT	Like some gases. 
OTTER	Carnivore - breed of 13 down
OBEAH	West Indies magic.
SIREN	All clear signal
ELOPE	Leave with a lover 
PIETY	Goodness! Shame drug's injected
TENOR	Ronan Tynan, for example
ABUSE	Treat wrongly
PILOT	Ace maybe
ERODE	What waves do to shores 
RAKED	Dealt with fallen leaves
SIEGE	1940-42 event on the island of Malta
PESTO	Basil-based paste
ELOPE	Hit the road to get hitched
RINSE	Fast wash
EVENT	Datebook entry
EIDER	Duck that'll get you down (wordplay)
ERROR	Discussed one who broadcasts mistake
ENTER	Exits opposite
SIEVE	Strain is rising on first lady
DENSE	Slowwitted
ELOPE	Act on a sudden itch to be hitched
ELIDE	Leave out phonetically
BELAY	Mountain climber's aid
DISCO	70s music genre
SIEGE	Military encirclement
ELITE	Gentry
EMEER	Turkish bigwig variable
AMUSE	Be a class clown
PURIM	Jewish festival 
RESIN	Cut tree's secretion
ROOSE	Praise, in Scotland 
ATTAR	Rose essence
ENTER	Drive-in sign 
CLING	Word after "static" or before "peaches"
EMEER	Kuwaiti ruler: Var
LEARY	'Rescue Me' star
EDGER	Trimming device 
PIPIT	Larklike singing bird
ELATE	Send skyhigh
BESET	Annoy or attack continually
SENNA	Cassia
USAGE	Utilitybill info
TEARS	Rents and rates revised
UVULA	Fleshy body at back of throat
SIEVE	Suboptimal memory comparison
ENTER	Peter Pan releases app that's key to computer
REINS	They'll hold your horses
UNION	Fusion.
OLDEN	Of early times Poet
OVULE	An immature ovum
SENSE	Sometime common commodity
ELOPE	Sneak off to get hitched
SCENT	Bouquet. 
EDGER	Garden tool.
SWEEP	Windmill sail
NERTS	Slangy interjection
ENTER	Fruit drink
DISCO	Specialty of the Trammps
ARENA	Bowl spin over a period of time
LEAVE	Permission to be absent
HELLO	Phone greeting 
IMBUE	Permeate throughout
COULD	'How - you?'
AMUSE	Erato, for one? 
ERROR	"Oops!" cause 
RERUN	Fred Berry's role in 'What's Happening!!'
ARROW	Fletcher's product
AGREE	Please, with "with"
GROSS	Earn before taxes
ERECT	On end
AMIGO	Hermano de otra madre
STEAL	Great value
LOPER	Horse with a certain gait
CREST	Leading climber has breather on the summit
OTTER	Hand-holder of note
LEAVE	Get moving
LINGO	Shoptalk. 
AWARE	With eyes darting
EDGER	Hem maker
LINER	Baseball "rope"
ENTER	Come in and put in with ten in
SIREN	Danger for Odysseus
ARRET	French decree.
SENSE	What praters don't make 
IMAGE	Figure.
MURAL	Orozco piece
UVULA	Part of the palate
DISCO	'Genre of dance music, popular in the 1970s (5)'
SCARE	Close shave
CHESS	Game with grand masters
AWARE	Plugged in, so to speak
SIEVE	Filter. 
SENSE	Sound logic
UVULA	Part of the soft palate.
ETUDE	Chopin piece 
LONER	One who doesn't mingle
DISCO	Kind of dancer
ALERT	Nimble 
LEVEL	Tool with a bubble
STOCK	Word before clerk or company
ARENA	RNA (wordplay)
PAGER	Grey's Anatomy prop
EYRIE	Nest for an eagle
ABOVE	Not deigning to consider
ENTER	Key often used to get in
DISCO	'70s nightclub
PLEAD	Respond to an indictment
NERTS	Darn it
TREAD	Step. 
RELAX	Let up
SCARE	John Mellencamp song It Dont  Me None
EARED	Word with long or lop
ERROR	Mistake thinking this is wrong
RIATA	'Rawhide' prop
ATTAR	Fragrant rose oil
ARENA	Seattles Key
ELITE	Not hoi polloi
ORATE	Use a soapbox, for example
CHESS	Game with men
ORANG	Long-armed simian, for short
MANSE	Dominie's house.
SIEGE	Long series of troubles
TROLL	Gremlin's kin
LEASE	Document you take from a letter
ENTER	Get into
AMATI	Instrument for 1 Across 
HERON	Long-legged wader.
ARMOR	Knight's heavy metal
WATER	'Adam's ale'
LONER	One preferring their own company
USURP	Seize and hold
ENTER	Walk in.
CANIS	Fido, to Cato
CELLO	Ma makes a living with it
GROWL	Angry utterance from a stomach
ERROR	Blunder, slip
SUGAR	Sweet lord often on the box
ALARM	Sleep interrupter, perhaps
SWEPT	Didnt drop any
PIETY	Holiness
ENTER	Hackers carriage return
PRIED	Talking lions will be closely investigated
ENNUI	Tedium in French? Yes, in French, we hear
ELITE	Groups best part
ENTER	Go in. 
IMAGE	Icon 
ARMOR	Arrow stopper
AMATI	Italian violin. 
NEVER	There's more to come from the raven, in a manner of speaking
RELAX	Make less stringent
RINSE	Gargle eg
OTTER	Fish-eating member of weasel family
EDGER	Lawntrimming tool
SCALE	Relative extent as of laces
DREAD	Awesome Rastafarian
AMATI	Cremona violin. 
ERODE	Make molehills out of mountains (wordplay)
CROWD	Audience
ELOPE	Run to Reno (wordplay)
SCARE	With 90-Across, frighten away
ERROR	Fumble at Fenway
ENTER	Reply to a knock
ELOPE	Run away a la Jessica
OUTER	Farther from center
TRYST	Rendezvous.
EXERT	Put into vigorous action
ARMOR	Panoply for a hoplite. 
ETUDE	Skills-sharpening piano piece
ELOPE	Escape 
HELLO	Word for Dolly 
EROSE	Irregularly notched, as a leaf.
OTTER	Wizard beheaded beast in river
SCARE	Say Boo to say
TIBER	River of 16 Across.
ERECT	Set up
ELATE	Overjoyed.
SENSE	Touch or hearing, for example
RELIC	Trace of some outmoded custom.
OTTER	Hermione's marine mammal patronus
LONER	Nonconformist
SCALE	Prepare for cooking as fish
SCARE	A kind of crow.
GROSS	Egregious 
EVENT	Track-meet unit
SWEEP	Word with chimney or clean
ELOPE	Steal away. 
ERROR	Pop drop, e.g
ARROW	Pointer on a map
ESSAY	Op-ed, for instance
OMBRE	Card game is serious with trumps finally spent
ARROW	Directional sign 
DRYER	Laundromat owners purchase
SENSE	It's meaning to get them up your nose, by the sound of it
ERODE	Wear down slowly
ERODE	Develop ruts, say
DRYER	Laundromat sight
PILOT	Kind of fish.
LEVEL	Whatever way you look at it, it's flat for those in the building trade
ARROW	Pointer on a map 
ARMED	Prepared, in a way.
UNLIT	Dark, as some streets
UVULA	Lobe in the mouth
ERODE	Finally, gastronome was up for crumble
ELATE	Lift a lot
RASTA	Bob Marley notably
SONAR	Salvageship equipment
SUGAR	Carbohydrate.
LEASE	Cardealership offering
ERROR	After tea it would be frightfully wrong
CANIS	Wo,lf and coyote genus
ENEMY	Belgae to Caesar
MONEL	Alloy of nickel.
INANE	Senseless
CELLO	Yo-yo Ma's instrument
TELOS	End of mate, lost
DISCO	Scott's ship lacks very popular dance music
RESTS	Concludes ones case
EVADE	Avoid, get out of
LANKA	See 100 across
TREES	Arbor sights
ELOPE	Run off to Yuma.
GROSS	Coarse
SCARE	Intimidate
FRUMP	Dowdy housewife
REMIT	Put the timer in reverse
ENTER	Word missing on many Mac keyboards
RERUN	Any "Twilight Zone" episode, now
ANTES	Wagers in games
EXERT	Put forth in a way
AWFUL	Dreadful, nasty
ESSAY	Test question, maybe
ERUPT	Lose it
ERROR	It can be unforced on court
CHESS	'Through the Looking-Glass' game
SURGE	Upward rush
TEMPO	Beat 
ARROW	Directional sign.
WHEAT	Product of North Dakota.
ONSET	Working class outbreak
AMATI	Early violin
SIREN	Sea nymph.
GROSS	Yecch!
RIVET	Work at a shipyard perhaps
LEMON	Dud on a carlot
ELATE	Make blissful
WANNA	Have the desire to, informally
TREES	Shoe inserts 
TEARS	Eyewash 
AMATI	Family name in 16th- and 17th-century music
SIREN	Alluring lady.
SIEVE	Wholly sounding riddle
TROLL	Underground imp. 
RISER	Steam pipe.
OTTER	Furry aquatic frolicker
DENSE	Thick 
ARROW	Tells projectile
NORSE	Faroese
GROSS	A kind of profit.
ETUDE	Liszt's 'La Campanella,' for example
THINE	Biblical pronoun 
ENTER	This will come in for, by the sound of it, the prize for initiative
CRUSH	First love perhaps
DEFER	Bow (to). 
ARENA	Kind of football with eight-player teams
INTER	'By the sound of it, berry I rent (5)'
ARMOR	Iron clothing (wordplay)
EVITE	Cyber-party notice
AISLE	Usher's domain. 
ARARA	Palm cockatoo of Australia 
AMATI	Stradivari's teacher
LEAVE	GI's furlough
ERECT	Not sitting
ADDER	Copperhead
EMAIL	Get hold of in a way
SWAMP	Airboat captain's habitat
OTTER	How beastly to get over about the water drinker in the water
INPUT	Data to be entered
REMAN	Supply with fresh troops
OWNER	Bookplate name
SCARE	Aerial near-miss, e.g
UNARY	Mathematically single
CHESS	Promotional activity (wordplay)
CELLO	Musical instrument like large violin held between legs
EMAIL	*Microsoft Outlook service
LEAVE	Tear out
HELLO	First word of a Beatles #1 hit
ELOPE	Sneak into an institution
ENTER	Do it at your own risk, maybe
ELITE	Like the U.S. Navy SEALs
LEDGE	Climbers rest stop
STOCK	Inventory
SEDER	Word from the Hebrew for "order"
LEDGE	Narrow perch 
OVULE	Plant compartment
AMUSE	Beguile with wit 
GROSS	Commercial quantity.
AGREE	Hold the same belief
TENOR	Opera hero's range, often
SONAR	Salvaging aid
ATTAR	In essence, that's what's at the top of 4 down
ELOPE	Become running mates (wordplay)
CROON	Sing softly. 
SHAME	Cause of a red face
HALER	More vigorous and healthy
LEVEL	Palindromic tier (wordplay)
ENTER	Begin, as a maze
SALLE	Manufacturer's spoiled paper
CRUSH	Overwhelm
ELOPE	Bypass the big wedding
ELOPE	Fly away in a way
ENTER	Covered up Aberdeen terrier in lodge
OTTER	Sea mammal 
HEART	Vital organ
SHAME	That's too bad
AISLE	Favored seat location, perhaps
LONER	Company shunner
SIREN	Alarming item
ARROW	Tell weapon
ERROR	Lapse in judgment
ERODE	Reduce bit by bit
OLDIE	Somebody or something long known: Colloq.
GOOSE	Gold source of fable
CHESS	Game with kings and castles
DRYER	One might spin jumpers
EROSE	Irregular, as a leaf edge.
ERROR	Its off the mark
ELECT	Decide upon. 
RELAX	Cool it
ANTES	Puts one's two cents in, perhaps (wordplay)
TENOR	Campora or Vinay.
AWARE	Apprised (of)
SIREN	Father last seen on top of the Garda car
EDGER	Landscaper's need
GROSS	Pay before deductions. 
MONEL	Alloy used for screens, cooking ware, etc. 
ELITE	The finest
SONAR	Asdic 
LAKER	A mere poet, perhaps
PRONE	Having a tendency (to)
ELOPE	Be part of a get-hitched-quick scheme
DISCO	Music to dance to
NEVER	Emphatic denial. 
ARMOR	Mail eg
WANER	Baseballer Paul, known as "Big Poison"
ORANG	Chimp's cousin 
ENTER	"It's open!"
ELITE	Privileged usually
EYRIE	Home on high
SKATE	Good person
ELOPE	Form a secret merger (wordplay)
IMAGE	Mind's eye picture
ORANG	Primate called round to begin with
ELATE	Make cheery.
ANISE	Aromatic herb 
ENTER	It's tapped to post
NOVEL	Romance. 
AWARE	Abreast of
EDGER	Garden cutter
UNLIT	Like this until the lights go on
VILLA	Country house (in Aston?)
ALARM	Morning sound 
EDGER	Sharpening device.
DRYER	Household appliance.
ELITE	Aristocracy 
LEARN	Pick up knight behind king
LEVEE	It may get high marks
DRIVE	Doctor, I have to be at the wheel
ELITE	Superior.
SNORE	'Zzzzzz ...'
ELOPE	Hitch on the run
UNTIE	Loosen a lacet 
LEARY	Noted acid studier
RELIC	Surviving ancient custom
START	One end of a maze
EROSE	Uneven, like a shoreline
ERODE	Gradually vanish
CROAK	Frog sound
FIRER	Sacking specialist
ELITE	Who's who
LEASE	Form for a letter (wordplay)
GLADE	Grassy forest areas
ALARM	Smartphone clock function
EVADE	Get out of the way
SCALE	Delicounter need
OTTER	Web-footed aquatic mammal
OMBRE	Spanish card game.
SIEVE	Screen out. 
ERODE	Give ground
ERODE	Corrode 
RINSE	Beauty shop specialty. 
ARISE	Get out of your dreams? (You know that song's in your head now...)
SNEER	Cynic's look. 
LONER	Anchorite, for example
CELLO	Instrument with an endpin
AMUSE	Divert in a way
PLEAD	Seek mercy say
CROAK	Raven's sound
ERROR	A meaning for X
SPOOL	Sewing kit item
ASCII	Computer file format
INERT	Nonreactive, in chemistry
ARMOR	Knight wear
SENSE	Appreciation of famous ensemble
MOTOR	Drive off tomorrow after losing row
ELITE	Privileged few
SPARE	Frugal
ENTER	Abandon hope all ye who  here
ADDER	Accountant often
ARARA	Carib Indian
OTTER	Shellfish snacker
SALON	Arty assembly.
TRILL	Musical sound.
ARISE	Get off the couch
SIREN	Pullover signal
SIREN	Theda Bara portrayal
SIREN	Father starts noticing temptress
ELATE	Spread joy^ELAT
AMUSE	Entertain a creative influence
LEAVE	Go - on holidays (wordplay)
MOTOR	Go by car or Thomas will be back first
SENSE	Hearing or sight eg
GROSS	144 
